	compressor_time	entropy_time	entropy	compress
0	92637	14067	46727	3.7820867959372113
1	18646	5711	37094	6.954159592529711
2	17854	7264	14604	8.58700209643606
3	64534	5811	37144	4.027531956735497
4	33775	5220	55199	2.972423802612482
5	27713	5361	52325	3.558644656820156
6	25969	7013	32737	4.556173526140156
7	28534	5180	37964	4.649262202043133
8	29667	5490	46999	3.757798165137615
9	23635	5521	42822	4.893667861409797
10	78561	5120	56457	3.10538286580743
11	72639	6252	33194	4.905389221556886
12	72168	18705	53037	3.696750902527076
13	79402	19508	41912	3.4889267461669506
14	16501	7485	19028	7.684803001876173
15	40607	5801	45319	3.4218880534670006
16	52099	7375	22255	8.126984126984127
17	68982	5010	72015	2.3472779369627506
18	73340	5961	27516	8.410677618069816
19	82708	5620	51434	3.261146496815287
20	17463	6963	22414	9.287981859410431
21	51979	5661	49475	3.8208955223880596
22	33534	6512	39021	4.079681274900398
23	31851	6312	34378	4.428108108108108
24	28304	5812	42221	3.8714555765595464
25	28294	5992	39390	4.075621890547263
26	22994	5640	43759	5.0818858560794045
27	26531	5320	44804	4.394849785407725
28	25458	6232	39796	4.091908091908092
29	26290	5210	49166	4.29800629590766
30	25419	5811	32693	8.359183673469389
31	25779	5160	49578	4.366737739872068
32	20559	5450	44911	7.049913941480207
33	25419	5230	49562	4.399570354457572
34	22724	5580	46155	5.720670391061453
35	26090	5190	49088	4.413793103448276
36	20740	5671	43379	7.025728987993139
37	26731	5640	48750	4.311578947368421
38	29055	6002	41675	4.116582914572865
39	80444	5721	43285	7.420289855072464
40	91956	6603	41709	3.9805636540330416
41	17774	5942	42887	7.447272727272727
42	29436	5460	51243	3.7925925925925927
43	20168	5630	43901	6.606451612903226
44	26580	6092	38774	4.289005235602095
45	24557	5130	43807	4.796252927400468
46	22783	5931	43068	6.140929535232384
47	19858	5710	43307	7.160839160839161
48	58982	5701	43309	7.757575757575758
49	69293	6352	38711	4.311578947368421
50	37081	13486	43650	7.353680430879713
51	48874	13826	40197	3.6934174932371504
52	17403	5561	43159	7.9073359073359075
53	32102	5360	47145	3.615180935569285
54	25208	5501	45864	4.535991140642303
55	54725	6292	45280	3.376751854905194
56	49755	5291	49547	4.302521008403361
57	39445	9378	45183	6.954159592529711
58	43614	9488	49934	4.343584305408272
59	20600	5711	45301	6.930626057529611
60	26290	5250	50220	4.289005235602095
61	5531	7204	6087	42.22680412371134
